document_id,clean_text,label
c8cc6ca886011e63c64bc9ac03b5a7798734fcec,although field artificial intelligence education aied substantial history research domain never rapid evolution ai application education spark prominent public discourse give already rapidly grow aied literature base higher education time ensure field solid research conceptual ground review review first comprehensive meta review explore scope nature aied higher education aihed research synthesise secondary research e g systematic review index web science scopus eric ebscohost ieee xplore sciencedirect acm digital library capture snowball openalex researchgate google scholar review include synthesise application ai solely formal higher continue education publish english july journal article full conference paper method section publication include data extraction synthesis eppi reviewer predominantly systematic review publish author north america conduct team mostly domestic collaboration find show review mostly focus aihed generally profile prediction thematic focus however key find indicate predominance use adaptive system personalisation higher education research gap identify suggest need greater ethical methodological contextual consideration within future research alongside interdisciplinary approach aihed application suggestion provide guide future primary secondary research,survey_review
ded4c8e6aef584d7b5f799fd8dcdba015ef6a284,use digital twin dts proliferate across various field industry recent surge healthcare sector concept digital twin health dt h hold great promise revolutionize entire healthcare system include management delivery disease treatment prevention health well maintenance ultimately improve human life rapid growth big data continuous advancement data science d artificial intelligence ai potential significantly expedite dt research development provide scientific expertise essential data robust cybertechnology infrastructure although various dt initiative underway industry government military dt h still early stage paper present overview current application dts healthcare examine consortium research center limitation survey current landscape emerge research development opportunity healthcare envision emergence collaborative global effort among stakeholder enhance healthcare improve quality life million individual worldwide pioneer research development realm dt technology,survey_review
e4ec504cbef3ce0048697071870809ab0ae3f95b,abstract objective evaluate comparative efficacy safety glucagon like peptide receptor agonist glp ra glycaemic control body weight lipid profile adult type diabetes design systematic review network meta analysis data source pubmed web science cochrane central register control trial central embase database inception august eligibility criterion select study eligible randomise control trial enrol adult type diabetes receive glp ra treatment compare effect placebo glp ra drug follow duration least week trial crossover design non inferiority study compare glp ra drug class without placebo group use withdraw drug non english study deem ineligible result eligible trial involve glp ra drug participant include network meta analysis subsequent estimate refer comparison placebo glp ra effectively lower haemoglobin c fast plasma glucose concentration tirzepatide induce largest reduction haemoglobin c concentration mean difference confidence interval surface cumulative rank curve high confidence evidence fast plasma glucose concentration mmol l high confidence prove effective glp ra drug glycaemic control furthermore glp ra show strong benefit weight management patient type diabetes cagrisema semaglutide cagrilintide result highest weight loss mean difference kg confidence interval high confidence evidence follow tirzepatide kg high confidence semaglutide effective lower concentration low density lipoprotein mmol l total cholesterol mmol l moreover study also raise awareness gastrointestinal adverse event induce glp ra concern safety especially warrant high dose administration conclusion glp ra efficacious treat adult type diabetes compare placebo tirzepatide effective glp ra drug glycaemic control reduce haemoglobin c fast plasma glucose concentration glp ra also significantly improve weight management type diabetes cagrisema perform best weight loss result prompt safety concern glp ra especially high dose administration regard gastrointestinal adverse event systematic review registration prospero crd,survey_review
a02f21e3d4b5045277abaabdcbf6d65b99b30ab3,background attention deficit hyperactivity disorder developmental neurological disorder three basic characteristic attention deficit hyperactivity impulsivity study aim investigate prevalence adhd child adolescent method investigation carry use meta analysis method prisma guideline october article gather scan pubmed scopus wos science direct database second version comprehensive meta analysis software use run analysis extract data choose paper significance level test use analyze study heterogeneity egger test use assess publication bias result analysis include cross sectional research research use determine prevalence adhd child child age year adhd confidence interval teenager age year adhd confidence interval prevalence adhd child adolescent accord dsm v criterion also higher previous diagnostic criterion accord study conclusion find study base meta analysis show high prevalence attention deficit hyperactivity disorder adhd find study demonstrate importance management policy treatment control adhd child adolescent,survey_review
b4cff79e22f2da53cf59e1f47726168c2020d1bc,background artificial intelligence ai base chatbots offer personalize engage demand health promotion intervention objective aim systematic review evaluate feasibility efficacy intervention characteristic ai chatbots promote health behavior change method comprehensive search conduct bibliographic database pubmed ieee xplore acm digital library psycinfo web science embase jmir publication empirical article publish evaluate feasibility efficacy ai chatbots behavior change screen extraction analysis identify article perform follow prisma prefer report item systematic review meta analysis guideline result include study several demonstrate high efficacy ai chatbots promote healthy lifestyle n smoke cessation n treatment medication adherence n reduction substance misuse n however mix result regard feasibility acceptability usability select behavior change theory expert consultation use develop behavior change strategy ai chatbots include goal set monitor real time reinforcement feedback demand support real time user chatbot interaction data user preference behavioral performance collect chatbot platform identify way provide personalize service ai chatbots demonstrate potential scalability deployment accessible device platform eg smartphones facebook messenger participant also report ai chatbots offer nonjudgmental space communicate sensitive information however report result need interpret caution moderate high risk internal validity insufficient description ai technique limitation generalizability conclusion ai chatbots demonstrate efficacy health behavior change intervention among large diverse population however future study need adopt robust randomize control trial establish definitive conclusion,survey_review
84194b86655a2f118def311c517989c72fe21680,aim study present base systematic review literature analysis impact application chatgpt tool education data obtain review result study publish since launch application november three lead scientific database world education web science scopus google scholar sample consist study use descriptive quantitative methodology significant data present result show implementation chatgpt educational environment positive impact teach learn process however result also highlight importance teacher train use tool properly although chatgpt enhance educational experience successful implementation require teacher familiar operation find provide solid basis future research decision make regard use chatgpt educational context,survey_review
7a496a068e4de4b1995a15628cc758989499e3e0,objective estimate efficacy exercise depressive symptom compare non active control group determine moderate effect exercise depression presence publication bias design systematic review meta analysis meta regression data source cochrane central register control trial pubmed medline embase sportdiscus psycinfo scopus web science search without language restriction inception september prospero registration crd eligibility criterion select study randomise control trial include participant age year older diagnosis major depressive disorder depressive symptom determine validate screen measure score threshold value investigate effect exercise intervention aerobic resistance exercise compare non exercise control group result forty one study comprise participant post intervention include meta analysis demonstrate large effect standardise mean difference smd ci favour exercise intervention correspond number need treat nnt ci large effect find study individual major depressive disorder smd ci k supervise exercise intervention smd ci k moderate effect analysis restrict low risk bias study smd ci k nnt ci conclusion exercise efficacious treat depression depressive symptom offer evidence base treatment option focus supervise group exercise moderate intensity aerobic exercise regime small sample size many trial high heterogeneity method consider interpret result,survey_review
54fc07c6066b3410b55670c2fbe01ea1068b31e8,background study examine temporal trend helicobacter pylorus prevalence worldwide aim identify change global prevalence h pylorus infection method systematic review meta analysis search pubmed embase medline scopus web science language restriction observational study prevalence h pylorus infection publish jan dec conference paper meta analysis review case report exclude divide study timeframe four period summary data extract select publication prevalence h pylorus temporal trend analyse accord region world bank income level universal health coverage service coverage index country region sex age patient study type diagnostic method pool prevalence estimate random effect meta analysis significance associate factor analyse multivariable meta regression study register international platform register systematic review meta analysis protocol inplasy find record identify include quality assessment stage study country region six region include individual include final analysis significant heterogeneity find study estimate global prevalence h pylorus infection decrease ci period period prevalence relatively static decline sharply largest decline african region overall lower prevalence h pylorus infection report younger people high income country country high level universal health coverage retrospective study study base serological diagnostic method generally report higher h pylorus prevalence study base non serological method v fluctuate less time interpretation meta analysis show decline trend h pylorus prevalence globally particularly period result could help inform future health policy prevention management important infection however considerable degree heterogeneity exist study population base epidemiological study need fund none,survey_review
51a9befa3ac25216479662c513f57a36e85ab148,objective determine effect covid vaccination give acute infection sars cov virus diagnosis long covid rate symptom long covid design systematic review data source pubmed embase cochrane covid trial europe pubmed central europe pmc preprints january august eligibility criterion select study trial cohort study case control study report patient long covid symptom long covid vaccination infection sars cov virus diagnosis long covid risk bias assess robin tool result article screen randomise control trial find observational study five country usa uk france italy netherlands identify report patient common symptom long covid study fatigue cough loss sense smell shortness breath loss taste headache muscle ache difficulty sleep difficulty concentrate worry anxiety memory loss confusion study report data vaccination infection sars cov virus show significant reduction incidence long covid odds ratio develop long covid one dose vaccine range two do odds ratio three do dose five study report vaccination infection odds ratio high heterogeneity study preclude meaningful meta analysis study fail adjust potential confounders protective behaviour miss data thus increase risk bias decrease certainty evidence low conclusion current study suggest covid vaccine might protective therapeutic effect long covid robust comparative observational study trial need however clearly determine effectiveness vaccine prevent treat long covid protocol registration open science framework http osf io e jdy,survey_review
4899b37496bf5c9dbc4518bf7b3397fc3a84ffcd,background emerge epidemiological data suggest hundred primary study examine prevalence adhd child adolescent dozen systematic view meta analysis study conduct subject purpose umbrella review provide robust synthesis evidence systematic review meta analysis method systematically search pubmed web science psychinfo scopus find pertinent study study preregistered prospero crd quality study assess use measurement tool assess systematic review amstar prevalence estimate include study pool use invariance variance weight random effect meta analysis result thirteen meta analytic systematic review primary study participant include final analysis random effect meta analysis study show global prevalence adhd child adolescent ci prevalence estimate twice higher boy compare girl three subtypes adhd inattentive type adhd adhd find common type adhd follow hyperactive adhd hi combine type adhd c conclusion find compressive umbrella review suggest adhd highly prevalent child adolescent boy twice likely experience disorder girl result underpin priority give prevent early identify treat adhd child adolescent,survey_review
